code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600071,2018-03-08,2017-12-31,0.082415,2.325149,0.839803,1.007974,0.041873,0.909790,0.947536,0.048573
sh.600072,2018-04-20,2017-12-31,0.008360,3.039793,0.385453,0.714064,0.009992,0.617181,0.270443,0.059861
sh.600073,2018-03-31,2017-12-31,0.083102,3.384813,1.945719,0.602276,0.020951,0.871561,0.870506,0.027614
sh.600074,2018-04-28,2017-12-31,-15.222430,11.276902,0.496825,0.981696,-2.767667,1.005692,1.037268,-2.653128
sh.600075,2018-04-12,2017-12-31,0.131343,2.122837,0.571305,1.004401,0.107824,0.815169,0.877234,0.150783
sh.600076,2018-03-31,2017-12-31,0.147679,1.348598,0.426957,1.002974,0.255719,0.926475,0.934517,0.295353
sh.600077,2018-02-10,2017-12-31,0.042628,3.721788,0.202274,0.987046,0.057367,0.522393,0.770032,0.142612
sh.600078,2018-03-31,2017-12-31,0.031683,4.097090,0.392507,0.677788,0.029068,0.778366,0.387816,0.096295
sh.600079,2018-04-12,2017-12-31,0.175575,2.623949,0.499589,0.892369,0.150089,0.786772,0.858100,0.222312
sh.600080,2018-04-13,2017-12-31,0.048842,1.307807,0.528931,0.993513,0.071069,0.847521,0.892721,0.093932
sh.600081,2018-03-31,2017-12-31,0.115967,4.233730,1.200333,0.502227,0.045437,0.879808,0.971893,0.053138
sh.600082,2018-04-26,2017-12-31,0.008493,2.080749,0.146357,1.000000,0.027889,1.216141,0.138083,0.166077
sh.600083,2018-04-25,2017-12-31,0.141304,1.981163,0.743317,0.912716,0.105129,0.724395,1.003726,0.144588
sh.600084,2018-04-04,2017-12-31,-0.037626,1.369756,0.122780,0.994226,-0.225029,1.008562,1.303283,-0.171198
sh.600085,2018-03-31,2017-12-31,0.125529,2.206608,0.747926,0.584126,0.130212,0.813787,1.005767,0.159090
sh.600086,2018-04-21,2017-12-31,0.074415,3.520713,0.848127,1.000379,0.024912,0.748366,0.320835,0.103755
sh.600088,2018-04-28,2017-12-31,0.078021,1.314316,0.518434,0.936959,0.122207,0.745698,1.066008,0.153735
sh.600089,2018-04-17,2017-12-31,0.083487,3.014981,0.482766,0.831087,0.069017,0.863359,0.871761,0.091699
sh.600090,2018-04-24,2017-12-31,0.091137,1.280063,1.362531,0.886344,0.058954,0.726268,0.983192,0.082562
sh.600091,2018-04-27,2017-12-31,0.006257,1.378333,0.053247,1.000000,0.085257,1.000000,1.248591,0.068282
sh.600093,2018-04-27,2017-12-31,0.127069,2.098174,1.185270,0.911825,0.056036,0.751944,0.936558,0.079570
sh.600094,2018-03-06,2017-12-31,0.125781,4.949791,0.184370,0.950468,0.145011,0.751085,0.772158,0.250037
sh.600095,2018-03-23,2017-12-31,0.028624,1.513038,0.201066,0.994157,0.094643,0.588790,0.806200,0.199382
sh.600096,2018-03-23,2017-12-31,0.053651,17.446321,0.852697,0.778556,0.004632,0.614927,1.035942,0.007272
sh.600097,2018-04-20,2017-12-31,0.104986,1.515063,1.010676,0.971243,0.070593,0.918182,0.909964,0.084491
sh.600098,2018-04-28,2017-12-31,0.043871,2.387916,0.671429,0.758870,0.036057,0.680439,0.704172,0.075253
sh.600099,2018-03-17,2017-12-31,0.004079,1.213471,0.788904,1.000000,0.004261,0.495021,4.546856,0.001893
sh.600100,2018-04-21,2017-12-31,0.004814,2.814812,0.428842,0.195696,0.020377,0.772261,0.486030,0.054290
sh.600101,2018-03-30,2017-12-31,0.048353,1.436567,0.519164,0.988083,0.065614,0.875424,1.019149,0.073543
sh.600103,2018-04-17,2017-12-31,0.032464,1.491341,0.548494,0.823253,0.048208,0.820109,0.822459,0.071472
sh.600104,2018-03-30,2017-12-31,0.164936,3.149530,1.325012,0.730331,0.054117,0.868323,0.999283,0.062368
sh.600105,2018-04-03,2017-12-31,0.112633,1.707041,0.649412,0.868208,0.117025,0.919842,0.965347,0.131790
sh.600106,2018-03-31,2017-12-31,0.079304,1.917722,0.035091,1.000000,1.178446,0.937958,0.688877,1.823832
sh.600107,2018-04-26,2017-12-31,0.008485,2.185807,0.373063,1.831102,0.005682,1.528167,0.095014,0.039135
sh.600108,2018-04-20,2017-12-31,0.020813,1.683583,0.260952,0.993313,0.047692,0.973815,0.486213,0.100727
sh.600109,2018-03-29,2017-12-31,0.066133,2.478529,0.097510,0.999256,0.273842,0.750096,,
sh.600110,2018-04-26,2017-12-31,0.096461,3.018758,0.426695,0.881169,0.084986,0.749707,0.591228,0.191735
sh.600111,2018-04-20,2017-12-31,0.046824,2.113059,0.563405,0.576042,0.068279,0.870364,0.797598,0.098356
sh.600112,2018-04-25,2017-12-31,0.017108,2.364522,0.206985,1.009697,0.034621,0.710648,0.243432,0.200127
sh.600113,2018-03-09,2017-12-31,0.154989,1.557628,0.364546,0.997320,0.273685,0.760102,0.939305,0.383330
sh.600114,2018-03-20,2017-12-31,0.123987,1.267039,0.581357,0.951581,0.176887,0.855552,1.011521,0.204397
sh.600115,2018-03-30,2017-12-31,0.126670,4.362412,0.464994,0.931378,0.067046,0.791183,0.690373,0.122748
sh.600116,2018-03-29,2017-12-31,0.132153,1.849940,0.253307,1.164770,0.242120,0.777027,0.905823,0.343994
sh.600117,2018-04-10,2017-12-31,0.019907,8.546731,0.289491,0.794652,0.010125,0.797729,0.136711,0.092842
sh.600118,2018-03-15,2017-12-31,0.081422,2.047587,0.716977,0.830609,0.066773,0.877401,1.055268,0.072117
sh.600119,2018-04-26,2017-12-31,-0.111867,2.940783,1.153292,0.666187,-0.049511,1.075160,1.468900,-0.031350
sh.600120,2018-04-11,2017-12-31,0.087568,1.848896,0.645857,0.970019,0.075599,0.725116,0.989364,0.105379
sh.600121,2018-03-31,2017-12-31,0.204440,3.575772,0.520520,0.734014,0.149642,0.822128,0.856526,0.212507
sh.600122,2018-04-10,2017-12-31,0.072493,2.335357,0.971374,1.085224,0.029447,0.784822,0.669331,0.056056
sh.600123,2018-04-24,2017-12-31,0.086906,2.649864,0.317487,1.262268,0.081837,0.665912,0.724277,0.169678
sh.600125,2018-03-30,2017-12-31,0.064380,1.589398,1.430625,1.008068,0.028087,0.731302,0.945363,0.040626
sh.600126,2018-04-21,2017-12-31,0.114416,1.593463,1.113826,0.991384,0.065026,0.819688,1.022256,0.077603
sh.600127,2018-04-13,2017-12-31,0.014636,2.571355,1.432417,1.057704,0.003757,0.563909,0.600345,0.011098
sh.600128,2018-04-03,2017-12-31,0.008478,2.141067,1.324182,0.665760,0.004492,0.566346,0.668340,0.011867
sh.600129,2018-04-21,2017-12-31,0.078122,7.993667,0.869857,1.028302,0.010926,0.524556,0.460576,0.045224
