code,mean,std
sh.600199,0.003649,
sh.600882,0.003662,
sz.000619,0.003678,
sh.600215,0.00372,
sz.002204,0.003845,
sh.600050,0.004,
sh.600099,0.004079,
sz.002505,0.004253,
sz.300126,0.004279,
sh.601608,0.004396,
sh.600617,0.004468,
sz.002529,0.004481,
sz.002576,0.004601,
sh.600719,0.004615,
sh.601918,0.004757,
sh.600207,0.004774,
sh.600100,0.004814,
sz.000806,0.00494,
sz.300337,0.005101,
sh.600501,0.00531,
sz.002480,0.005352,
sh.600175,0.00537,
sh.600495,0.0054,
sh.600191,0.005405,
sz.000852,0.005427,
sz.002272,0.005499,
sh.600707,0.005499,
sh.600058,0.005506,
sz.002330,0.005619,
sz.002506,0.005716,
sz.002428,0.005725,
sz.000837,0.005839,
sz.300223,0.00585,
sh.600187,0.005879,
sh.600166,0.005912,
sh.600448,0.005977,
sh.600189,0.006123,
sh.600316,0.006154,
sh.600091,0.006257,
sh.600456,0.006272,
sz.000521,0.006401,
sh.600257,0.006432,
sz.002229,0.006549,
sh.601177,0.006597,
sz.002759,0.006634,
sz.002159,0.006674,
sz.002141,0.00702,
sz.300084,0.0071,
sz.000677,0.007115,
sh.600984,0.007118,
sz.300280,0.007119,
sh.600343,0.0072,
sz.002524,0.007212,
sz.300211,0.007306,
sz.002560,0.007941,
sz.002708,0.007972,
sz.000037,0.008153,
sz.300192,0.008171,
sz.002177,0.008177,
sh.600227,0.00819,
sz.002259,0.008228,
sz.300105,0.008303,
sh.600072,0.00836,
sz.002476,0.008369,
sz.002628,0.008388,
sh.601106,0.008404,
sh.601958,0.00842,
sh.600685,0.008457,
sh.600128,0.008478,
sh.600107,0.008485,
sh.600082,0.008493,
sz.000949,0.008495,
sz.300458,0.008513,
sh.600192,0.008549,
sz.000713,0.008556,
sz.002353,0.008577,
sz.300141,0.008721,
sz.002077,0.008743,
sh.600155,0.008806,
sh.600365,0.008837,
sz.002477,0.008949,
sz.300442,0.00902,
sh.600969,0.009075,
sh.600854,0.009077,
sh.600869,0.00911,
sz.000678,0.009351,
sz.002225,0.009417,
sh.601616,0.009425,
sz.002046,0.009446,
sh.600159,0.009501,
sz.000679,0.009521,
sh.600880,0.009587,
sz.002280,0.009623,
sz.002023,0.00964,
sz.300004,0.009661,
sz.002052,0.009697,
sz.000571,0.009762,
sh.601099,0.009876,
sz.002278,0.009935,
sz.001896,0.010015,
sh.600962,0.010118,
sh.600027,0.010195,
sh.601969,0.010218,
sz.300293,0.010275,
sz.000014,0.010332,
sz.300079,0.010421,
sz.002633,0.010448,
sz.300282,0.010477,
sz.002659,0.010481,
sh.600259,0.010542,
sz.002154,0.010661,
sh.600476,0.010692,
sz.002457,0.010698,
sh.601226,0.01078,
sz.002691,0.010807,
sh.603315,0.010881,
sz.000401,0.011003,
sz.002693,0.011035,
sz.300283,0.011155,
sh.600463,0.011244,
sz.300092,0.011273,
sh.601890,0.011297,
sh.600237,0.01143,
sz.000931,0.011524,
sz.300268,0.011547,
sz.300155,0.011645,
sz.002585,0.011721,
sh.600855,0.01174,
sh.601038,0.011741,
sz.300030,0.01175,
sz.000005,0.011753,
sz.000518,0.011758,
sz.000503,0.011797,
sz.002369,0.011807,
sz.002723,0.011838,
sh.600783,0.011851,
sz.002535,0.011944,
sh.603333,0.011962,
sz.002337,0.011964,
sz.000993,0.012004,
sh.600243,0.012012,
sz.000752,0.012107,
sz.000690,0.012337,
sz.000543,0.012485,
sz.300277,0.012577,
sh.600425,0.012583,
sz.000729,0.012586,
sh.600177,0.012604,
sz.000560,0.012631,
sz.002305,0.012673,
sh.600169,0.012723,
sh.601069,0.012884,
sz.000815,0.012889,
sh.600770,0.012924,
sz.000969,0.012981,
sh.600478,0.013006,
sz.002184,0.013085,
sz.300354,0.013183,
sz.002096,0.013334,
sh.600538,0.013518,
sh.600281,0.013705,
sh.601989,0.013925,
sz.000701,0.013928,
sh.600533,0.013996,
sz.002231,0.014009,
sz.002513,0.014055,
sh.600416,0.014117,
sz.002481,0.01416,
sh.600458,0.014253,
sh.603003,0.014281,
sh.600290,0.014457,
sh.600561,0.014508,
sz.300483,0.014588,
sh.600127,0.014636,
sh.603366,0.014657,
sh.600537,0.014683,
sz.002591,0.014988,
sz.002058,0.015012,
sz.002618,0.015093,
sh.600235,0.015127,
sz.000948,0.015146,
sz.000831,0.015198,
sz.002240,0.015203,
sz.002660,0.01526,
sh.600206,0.015371,
sz.000600,0.015376,
sz.300330,0.015454,
sz.002377,0.015514,
sh.603029,0.015537,
sz.002395,0.015653,
sz.002197,0.015669,
sh.603958,0.015781,
sh.600651,0.015896,
sh.600747,0.015902,
sh.600819,0.015905,
sh.600429,0.015917,
sz.000536,0.015979,
sh.600496,0.016053,
sz.002378,0.016062,
sz.002577,0.016108,
sh.601258,0.016123,
sz.000519,0.016141,
sz.000762,0.016145,
sz.002621,0.016154,
sh.600992,0.016232,
sh.603227,0.016285,
sh.600858,0.016387,
sz.002638,0.01644,
sz.002719,0.016443,
sh.600145,0.016492,
sz.002733,0.016536,
sz.002054,0.016712,
sh.600212,0.016816,
sz.000566,0.016849,
sz.300301,0.016889,
sz.002399,0.01689,
sz.300325,0.016938,
sh.600152,0.016992,
sz.000668,0.017037,
sh.600821,0.01705,
sh.600112,0.017108,
sh.600780,0.017186,
sz.002467,0.017202,
sz.002205,0.017217,
sz.300291,0.017261,
sh.600825,0.01728,
sz.002261,0.017369,
sz.002725,0.017522,
sz.300402,0.017551,
sz.002453,0.017734,
sz.002459,0.017763,
sh.600405,0.017796,
sz.000880,0.017829,
sz.002414,0.01784,
sh.600268,0.01788,
sh.600540,0.017916,
sh.600467,0.017958,
sz.300111,0.01813,
sz.000032,0.018135,
sz.002665,0.018249,
sh.600520,0.018354,
sz.300162,0.018365,
sz.002485,0.018374,
sh.600336,0.018379,
sh.600506,0.018445,
sz.002227,0.018544,
sh.600634,0.018827,
sz.002292,0.018842,
sz.002181,0.018844,
sh.600241,0.018912,
sz.300263,0.018919,
sz.300235,0.01899,
sz.002715,0.019017,
sz.002495,0.019036,
sh.600636,0.019118,
sh.601857,0.019129,
sz.002674,0.019199,
sz.300147,0.019228,
sz.300471,0.019301,
sz.300205,0.019352,
sz.300085,0.019414,
sz.000632,0.01951,
sz.002488,0.019522,
sz.000680,0.019525,
sh.603021,0.019564,
sh.600184,0.019644,
sh.600320,0.019875,
sz.002625,0.019895,
sh.600117,0.019907,
sz.300256,0.019921,
sz.002610,0.019984,
sz.002302,0.019989,
sh.600587,0.02001,
sz.002073,0.020082,
sh.600063,0.020137,
sz.002387,0.020142,
sz.002132,0.020229,
sz.300093,0.020253,
sz.000570,0.020317,
sz.300466,0.020323,
sz.300269,0.02034,
sz.300313,0.020362,
sh.600714,0.020522,
sh.600375,0.020529,
sz.002490,0.020625,
sz.002329,0.020683,
sh.600108,0.020813,
sh.600433,0.020847,
sz.002011,0.020861,
sz.000573,0.020991,
sh.600666,0.021116,
sh.600583,0.021224,
sz.002274,0.021237,
sz.002755,0.021324,
sz.002031,0.021397,
sh.603308,0.021546,
sh.600232,0.021574,
sh.600543,0.021658,
sz.000558,0.021737,
sz.000593,0.021749,
